prefix,base
SWO,http://www.ebi.ac.uk/swo/SWO_
SWO.organization,http://www.ebi.ac.uk/swo/organization/SWO_
SWO.maturity,http://www.ebi.ac.uk/swo/maturity/SWO_
SWO.objective,http://www.ebi.ac.uk/swo/objective/SWO_
SWO.license,http://www.ebi.ac.uk/swo/license/SWO_
SWO.version,http://www.ebi.ac.uk/swo/version/SWO_
SWO.data,http://www.ebi.ac.uk/swo/data/SWO_
SWO.interface,http://www.ebi.ac.uk/swo/interface/SWO_
SWO.algorithm,http://www.ebi.ac.uk/swo/algorithm/SWO_
OntoDM,http://www.ontodm.com/OntoDM-core/OntoDM_
OntoDM.kdd,http://kt.ijs.si/panovp/OntoDM#OntoDM-KDD
FMA,http://purl.org/sig/ont/fma/fma
MSIO,http://purl.obolibrary.org/obo/MSIO_
nmrCV,http://nmrML.org/nmrCV#NMR:
modl,https://archive.org/services/purl/purl/modular_ontology_design_library#
biolink,https://w3id.org/biolink/vocab/
biolink,https://w3id.org/biolink/vocab/
loinc,https://loinc.org/
BCIO,http://humanbehaviourchange.org/ontology/BCIO_
BCIOR,http://humanbehaviourchange.org/ontology/BCIOR_
icd10who,https://icd.who.int/browse10/2019/en#/
GARD,http://purl.obolibrary.org/obo/GARD_
OMIM,https://omim.org/entry/
OMIMPS,https://www.omim.org/phenotypicSeries/PS
CHR,http://purl.obolibrary.org/obo/CHR_
OEO,http://openenergy-platform.org/ontology/oeo/OEO_
GOLDTERMS,https://w3id.org/gold.path/
GOLDVOCAB,https://w3id.org/gold.vocab/
SDGIO,http://purl.unep.org/sdg/SDGIO_
KIN,http://purl.org/ga4gh/kin.owl#KIN_
ontorion,http://ontorion.com/namespace#
omop,https://athena.ohdsi.org/search-terms/terms/
comet,https://w3id.org/linkml-common/
CCO,http://www.ontologyrepository.com/CommonCoreOntologies/
OccO,http://purl.obolibrary.org/obo/OccO_
IOFcore,https://spec.industrialontologies.org/ontology/
UPa,http://purl.obolibrary.org/obo/UPa_
orcid,https://orcid.org/
evs.ncit,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#
old.fix,http://purl.org/obo/owl/FIX#
mlo,http://www.a2rd.net.br/mlo#
ito,https://identifiers.org/ito:
cso,https://cso.kmi.open.ac.uk/topics/
freebase,http://rdf.freebase.com/ns/
yago,http://yago-knowledge.org/resource/
cyc,http://sw.cyc.com/concept
OBIws,http://purl.obolibrary.org/obo/OBIws_
chr,http://purl.obolibrary.org/obo/CHR_
prov,http://www.w3.org/ns/prov#
dtype,http://www.linkedmodel.org/schema/dtype#
voag,http://voag.linkedmodel.org/voag#
vaem,http://www.linkedmodel.org/schema/vaem#
qudtschema,http://qudt.org/schema/qudt/
qudtunit,http://qudt.org/vocab/unit/
si-quantity,https://si-digital-framework.org/SI/quantities/
quantitykind,http://qudt.org/vocab/quantitykind/
cellosaurus,http://purl.obolibrary.org/obo/Cellosaurus#CVCL_
fhkb,http://owl.cs.manchester.ac.uk/tutorials/fhkb#
dbpediaont,http://dbpedia.org/ontology/
dbpedia,http://dbpedia.org/
ICD10CM,http://purl.bioontology.org/ontology/ICD10CM/
co_324,https://cropontology.org/rdf/CO_324:
PPEO,http://purl.org/ppeo/PPEO.owl#
InterPro,http://purl.obolibrary.org/obo/InterPro_
hgnc.genegroup,http://purl.obolibrary.org/obo/hgnc.genegroup_
hgnc,http://purl.obolibrary.org/obo/hgnc_
SGD,http://purl.obolibrary.org/obo/sgd_
hgnc.genegroup,http://purl.obolibrary.org/obo/dictybase_
EC,http://purl.obolibrary.org/obo/eccode_
uniprot.obo,http://purl.obolibrary.org/obo/uniprot_
uniprot.obo,http://purl.obolibrary.org/obo/uniprot_
RHEA,http://purl.obolibrary.org/obo/rhea_
uniprot.obo,http://purl.obolibrary.org/obo/uniprot_
swisslipid,http://purl.obolibrary.org/obo/swisslipid_
drugbank,http://purl.obolibrary.org/obo/drugbank_
drugbank,http://purl.obolibrary.org/obo/drugcentral_
complexportal,http://purl.obolibrary.org/obo/complexportal_
complexportal,http://purl.obolibrary.org/obo/wikipathways_
MESH,http://id.nlm.nih.gov/mesh/
RXNORM,http://purl.bioontology.org/ontology/RXNORM/
OBT,http://purl.obolibrary.org/obo/OBT_
NANDO,http://nanbyodata.jp/ontology/NANDO_
ECSO,http://purl.dataone.org/odo/ECSO_
ONTIE,https://ontology.iedb.org/ontology/ONTIE_
ECOSIM,http://purl.obolibrary.org/obo/ECOSIM_
ECOSIMCONCEPT,http://purl.obolibrary.org/obo/ECOSIMCONCEPT_
nmdc,https://w3id.org/nmdc/
linkml,https://w3id.org/linkml/
mixs,https://w3id.org/mixs/
mixs,https://w3id.org/mixs/
fibo,https://spec.edmcouncil.org/fibo/ontology/
cmnsav,https://www.omg.org/spec/Commons/AnnotationVocabulary/
